Data,Mes,Setor,Turno,Volume_Total,SLA_Real_%,Pacotes_Atrasados,Tempo_Medio_Seg,Motivo_Atraso
2026-01-01,1,Recebimento,Turno 3,12270,98.37,199,286,Dentro do Prazo
2026-01-01,1,Picking,Turno 3,10191,96.79,327,282,Indisponibilidade de Sistema
2026-01-01,1,Packing,Turno 2,11265,93.25,760,267,Atraso na descarga
2026-01-01,1,Expedição,Turno 1,13322,92.16,1043,437,Problema de etiqueta
2026-01-01,1,Devolução (DV),Turno 1,11949,92.01,955,340,Erro de bipagem
2026-01-01,1,Inventário,Turno 2,9555,96.89,296,432,Gargalo no Sortter
2026-01-02,1,Recebimento,Turno 2,13666,96.89,424,349,Problema de etiqueta
2026-01-02,1,Picking,Turno 2,7047,94.34,399,369,Problema de etiqueta
2026-01-02,1,Packing,Turno 1,7734,96.95,236,234,Indisponibilidade de Sistema
2026-01-02,1,Expedição,Turno 1,6267,96.74,204,310,Indisponibilidade de Sistema
2026-01-02,1,Devolução (DV),Turno 1,8556,96.86,268,200,Erro de bipagem
2026-01-02,1,Inventário,Turno 1,10393,99.59,42,193,Dentro do Prazo
2026-01-03,1,Recebimento,Turno 3,13433,95.08,660,232,Indisponibilidade de Sistema
2026-01-03,1,Picking,Turno 1,12041,97.47,304,443,Indisponibilidade de Sistema
2026-01-03,1,Packing,Turno 2,13226,99.27,95,229,Dentro do Prazo
2026-01-03,1,Expedição,Turno 2,8943,98.04,175,233,Dentro do Prazo
2026-01-03,1,Devolução (DV),Turno 2,8843,93.48,576,370,Erro de bipagem
2026-01-03,1,Inventário,Turno 2,11873,95.6,522,381,Gargalo no Sortter
2026-01-04,1,Recebimento,Turno 1,5995,96.78,192,394,Falta de FTE (Mão de obra)
2026-01-04,1,Picking,Turno 3,14467,92.36,1105,392,Falta de FTE (Mão de obra)
2026-01-04,1,Packing,Turno 1,11863,97.98,239,232,Problema de etiqueta
2026-01-04,1,Expedição,Turno 1,9887,94.85,508,431,Problema de etiqueta
2026-01-04,1,Devolução (DV),Turno 1,11331,96.34,414,220,Atraso na descarga
2026-01-04,1,Inventário,Turno 3,10276,98.42,162,244,Dentro do Prazo
2026-01-05,1,Recebimento,Turno 1,13006,95.39,599,308,Atraso na descarga
2026-01-05,1,Picking,Turno 2,7027,94.35,397,242,Falta de FTE (Mão de obra)
2026-01-05,1,Packing,Turno 2,10258,93.59,657,342,Atraso na descarga
2026-01-05,1,Expedição,Turno 3,10892,99.41,64,220,Dentro do Prazo
2026-01-05,1,Devolução (DV),Turno 1,8099,98.9,88,447,Dentro do Prazo
2026-01-05,1,Inventário,Turno 3,8104,92.51,607,241,Falta de FTE (Mão de obra)
2026-01-06,1,Recebimento,Turno 2,13996,97.84,302,393,Erro de bipagem
2026-01-06,1,Picking,Turno 3,13154,96.49,461,406,Falta de FTE (Mão de obra)
2026-01-06,1,Packing,Turno 3,13110,97.71,300,436,Problema de etiqueta
2026-01-06,1,Expedição,Turno 1,6028,96.49,211,434,Falta de FTE (Mão de obra)
2026-01-06,1,Devolução (DV),Turno 2,14062,92.32,1079,386,Gargalo no Sortter
2026-01-06,1,Inventário,Turno 2,10134,92.89,720,358,Gargalo no Sortter
2026-01-07,1,Recebimento,Turno 1,5863,97.09,170,231,Indisponibilidade de Sistema
2026-01-07,1,Picking,Turno 2,10116,96.07,397,401,Problema de etiqueta
2026-01-07,1,Packing,Turno 2,12574,96.84,397,322,Problema de etiqueta
2026-01-07,1,Expedição,Turno 1,8242,93.62,525,192,Atraso na descarga
2026-01-07,1,Devolução (DV),Turno 3,14914,97.56,364,245,Atraso na descarga
2026-01-07,1,Inventário,Turno 3,14789,97.07,433,313,Problema de etiqueta
2026-01-08,1,Recebimento,Turno 3,8627,95.33,402,307,Indisponibilidade de Sistema
2026-01-08,1,Picking,Turno 3,14721,92.98,1033,410,Problema de etiqueta
